ID,latitudine,longitudine,TOPONIMO,INDIRIZZO,N. CIVICO,Nome,Tipo di Attività,E-mail
1,45.618068,9.21595,VIA,Lampugnani,80 ,AMICI DELLA MUSICA H. von Karajan,Attività culturali varie,marco.mologni@gmail.com
2,45.616851 , 9.209509,VIA, Pio XI,4,AMICI DELLA CASA NATALE PIO XI,Attività culturali varie,c.lazzarotto@tiscali.it
3,45.622527,9.1968,VIA,Pallavicini,122,"ASSOCIAZIONE CULTURALE DEI CALABRESI E DEI GRECANICI DI CALABRIA NICOLA DI ARGIROPULO",Attività culturali varie,luigi.sclapari@live.it
4,45.615142 , 9.206386,VIA,Garibaldi,81,"CIRCOLO CULTURALE PRO DESIO",Attività culturali varie,marialuisasagavazzi@gmail.com
5,45.625343,9.203814,VIA,Via Fermi,30,CENTRO CULTURALE LAZZATI,"Attività culturali varie",gio.riboldi@tiscali.it
6,45.609133,9.203866,VIA,Via Garibaldi,265,LA VIA DEL BAMBU',Diffusione discipline cultura orientale,info@laviadelmbu.com
7,45.619191 ,9.211486,VIA, G. Di Vittorio,18,GRUPPO CAMPANARI TOCCHI E RINTOCCHI SAN GIOVANNI BATTISTA,Musica tradizionale,lucio.mazzolini@gmail.com
8,45.608924 , 9.206983,VIA,Santa Liberata,10,CONTRADA DUGANA,"Valorizzazione conoscenza e tradizioni della Contrada",mario.cortese48@gmail.com
9,45.617299  ,9.209782,VIA,Conciliazione,17,ASSOCIAZIONE CULTURALE PALIO DEGLI ZOCCOLI,"Organizzazione Palio degli Zoccoli ed attività culturali correlate",a.lumini@paliodeglizoccoli.org
10,45.618135  ,9.215996,VIA,Lampugnani,66,AMICI MUSEO SCALVINI,Valorizzazione Donazione museale Scalvini,cristiano.plicato@libero.it
11, 45.611509  ,9.203294,VIA,Primo Maggio,2,CORO SING A SONG,Musica
12,45.619727 ,9.209202,VIA,Gramsci,12,CORO CITTÀ DI DESIO,Musica,info@corocittadidesio.it
13,45.618083 ,9.210598,VIA,Portichetto,28,"CORPO MUSICALE PIO XI CITTÀ DI DESIO",Musica,bandadidesio@gmail.com
14,45.619727 , 9.209202,VIA,Gramsci,12,GRUPPO ARTISTICO DESIANO,Arte,info@associazionegad.it
15,45.614697 ,9.205971,VIA,Garibaldi,99,"ASSOCIAZIONE DIPINGERE INSIEME",Arte,carlinac@alice.it
16,45.619727, 9.209202,VIA, Gramsci,12,CIRCOLO FOTOGRAFICO DESIANO,Fotografia,info@cfdesiano.org
17,45.612595 ,9.212109,VIA,Partigiani d'Italia,14,"ASSOCIAZIONE MICOLOGICA BRESADOLA",Micologia,ambdesio@hotmail.com
18,45.623792 , 9.208677,VIA,Puccini,7,GRUPPO TEATRO SONIA BONACINA,Teatro,info@gruppoteatro.it
19,45.620953, 9.210705,VIA,Lissoni,6,TEATRANDO,Teatro,info@teatrando.net
20,45.613889 , 9.20653,VIA,Galeno,2,"ISTITUTO GNOSTICO DI ANTROPOLOGIA SAMAEL e LITELANTES","Corsi di gnosi e attività culturali",box@igasl.it
21,45.61225 ,9.206987,VIA,Galeno,45,"CORO A.N.A. NIKOLAJEWKA",Musica,coronikolajevka@gmail.com
22,45.618009  ,9.213115,VIA,Lampugnani,39,CORO SANTUARIO DEL CROCIFISSO,Musica,info@corocrocifisso.org
23,45.615912 ,9.213476,VIA,Roma,29,LEGAMBIENTE CIRCOLO “R. GIUSSANI”,"Promozione attività culturali di sensibilizzazione sulle tematiche ambientali",legambientedesio@libero.it
24,45.618309 ,9.21738,VIA,Lampugnani,99,LA PORTA SOCCHIUSA,"Promozione dello sviluppo, crescita, benessere della persona attraverso le arti terapie e le discipline mente corpo",info@laportasocchiusa.org
25,45.621105 ,9.225664,VIA,Bramante da Urbino,15,LO SPECCHIO SONORO,Musica,lospecchiosonoro@gmail.com
