UUID,Categoria,Ragione Sociale,Indirizzo,Sito,e-mail,Telefono,Facebook ID,Facebook URL,Google Place URL,Google Place ID,Latitude,Longitude,Categoria catastale
97f2ab4b-bb03-4eb5-a4de-c5aae13a0b7c,"",R.I.A.L. SRL,VIA GARIBALDI,www.rialdesio.it,info@rialdesio.it,"Negozio:362/305126
Ufficio: 0362/305135","","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
9d38af4f-161c-49ae-93ab-c47a58774f41,"",FERRAMENTA COLOMBO SNC DI ALBERTO E STEFANIA,VIA MATTEOTTI,www.ferramentacolombo.eu,fcd@tiscali.it,0362/621728,"","","","","","",N Non Domestica 13 : NEGOZI (ABBIGLIAMENTO-CALZATURE-LIBRERIE-...)
0ec032aa-3a16-4221-be3d-d26eabf6676d,"",INDUSRIA TESSILE/ABBIGLIAMENTO DI SANTAMBROGIO EGIDIO MARCO,VIA VERCESI,,,0362/626655,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
38525f23-4d9c-4c8c-b26b-c94c4547adcb,"",PROFUMERIA DI SCHIATTI CARLA,VIA GARIBALDI,,,0362/623670,"","","","","","",N Non Domestica 13 : NEGOZI (ABBIGLIAMENTO-CALZATURE-LIBRERIE-...)
b9001042-d711-4aca-a7f8-df5dcc80f9c7,"",STUDIO ORTOPEDICO DI SPINELLI MARIO,VIA ROMA,www.mariospinelliortopedia.it,mariospinelliorto@tiscali.it,Studio: +347/1160420,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
1f25a04c-413c-4e61-9dd4-be709c8ba7c0,"",STELLUTI MICHELE,VIA GARIBALDI,www.autoscuolacorallo.com,info@autoscuolacorallo.com,0362/331754,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
764ba287-5324-4bb7-bf55-2510a1a7e1d3,"",DIAMETRO SRL,DEL COMMERCIO,www.diametro.it,diametro@diametro.it,"Telefono:0362/302653 - 
0362/302620","","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
23ca94ae-2707-47f9-afe2-8087ff89d20b,"",IMPRESA BONALUMI SAS,VIA OSLAVIA,,,,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
12bf4534-1cca-4de8-9d8e-17da215c5ba8,"",FORNITURE PER UFFICIO DI NOVATI MORENO,VIA LAVORATORI AUTOBIANCHI,,,036/2623709,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
d2d97e3e-d9c0-4580-ad9f-318fd02c0a71,"",LIMA SPA LAVORAZIONE ITALIANA METALLI AFFINI SPA IN CONCORDATO PREVENT,VIA AGNESI,,,0362/480037 -0362/48001 ,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
9403377a-2c91-40b4-a116-822fbb898d2f,"",NAVA CESARE AUGUSTO & C. SNC,VIA DE AMICIS,,,0362/624176,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
60af386d-1bb7-4c3e-b9f6-077c557a968f,"",WILBRA SAS,VIA MAZZINI-SEDE VIA ENAUDI 6,www.wilbra.com/it,,0362/306128 - 0362/306129,"","","","","","",N Non Domestica 20 : ATTIVITA' INDUSTRIALI CON CAPANNONI DI PRODUZIONE
52059473-1a99-493e-b5a5-a234857afba9,"",MARIFLOS SPA,VIA SAN VINCENZO,www.mariflos.com,annamaria@mariflos.com,0362/621583,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
1067fce2-b5b5-44e0-b579-6721210c5949,"",OFFICINA AUTORIPARAZIONI DI MARIANI CORRADO,VIA ADRIA,,,0362/624094,"","","","","","",N Non Domestica 26 : PLURILICENZE ALIMENTARI O MISTE
6462c10e-7b15-4c92-934d-9d3c8b6fc2f8,"",ERMES SAS DI ROMEO FRANCESCO E C.,VIA POZZO ANTICO,,,036/2620714,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
648779ad-ef0d-4ef3-947c-b4e5993abcbf,"",ORTOPEDIA CORBETTA LUCIA SNC DI VI LLA MASSIMO,VIA GARIBALDI,,,0362/627042,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
0e290304-ed13-4df8-bdea-4d85e4759fe5,"",MANIFATTURA CALZE CARRARO SAS DI CARRARO MARCO,VIA MONTI,www.calzecarraro.it,,0362/303888,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
