N. PROG. INVENT.,TIPOLOGIA DI BENE,DENOMINAZIONE,DESCRIZIONE,INDIRIZZO,LOCALITA',FG,MAPPALE,SUB
315,PAA2 100 - Beni demaniali,via Togliatti - cimitero nuovo,alloggio custode,Togliatti  ,DESIO,52,114,1
316,PAA2 100 - Beni demaniali,via Togliatti - cimitero nuovo,box a servizio del custode,Togliatti  ,DESIO,52,114,2
317,PAA2 100 - Beni demaniali,via Rimembranze - cimitero,alloggio custode ,Rimembranze  ,DESIO,23,57,
318,PAA2 100 - Beni demaniali,via Rimembranze - cimitero,camera mortuaria e cappella votiva,Rimembranze  ,DESIO,23,4,
492,PAA2 100 - Beni demaniali,via Togliatti- cimitero ,nuovo cimitero colombari,Togliatti  ,DESIO,,,
493,PAA2 100 - Beni demaniali,via Togliatti- cimitero ,nuovo cimitero campi trentennali,Togliatti  ,DESIO,,,
494,PAA2 100 - Beni demaniali,via Rimembranze - cimitero,vecchio cimitero via rimembranze,Rimembranze  ,DESIO,,,
245,PAA2 300 - Terreni (patrimonio disponibile),"via Marx, 10 immobile",capannone polifunzionale,Marx Carlo 10 ,DESIO,22,328,2
1,PAA2 400 - Fabbricati (patrimonio indisponibile),ex sede centro tutela minori,,Arienti Pietro  ,DESIO,02,3,
2,PAA2 400 - Fabbricati (patrimonio indisponibile),Bene confiscato - Progetto Autonoma Mente,Bene confiscato - Progetto Autonoma Mente,Mulino Arese 31 ,DESIO,8,233,701
2,PAA2 400 - Fabbricati (patrimonio indisponibile),Bene confiscato - Progetto Autonoma Mente,Bene confiscato - Progetto Autonoma Mente,Mulino Arese 31 ,DESIO,8,233,
3,PAA2 400 - Fabbricati (patrimonio indisponibile),centro scolastico via Milano ,complesso scolastico palestra e scuola di musica via Milano,Milano  ,DESIO,10,146,
4,PAA2 400 - Fabbricati (patrimonio indisponibile),centro scolastico via Milano ,scuola media Pertini,Tolstoj  ,DESIO,10,147,
5,PAA2 400 - Fabbricati (patrimonio indisponibile),centro scolastico via Novara,scuola materna comunale,Novara  ,DESIO,10,204,
6,PAA2 400 - Fabbricati (patrimonio indisponibile),centro scolastico via Tolstoj ,scuola elementare,Tolstoj  ,DESIO,10,219,
7,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile  via Novara,uffici amministrativi ASL,Novara  ,DESIO,10,67,
8,PAA2 400 - Fabbricati (patrimonio indisponibile),complesso scolastico via Dolomiti,scuole,Dolomiti  ,DESIO,20,115,
9,PAA2 400 - Fabbricati (patrimonio indisponibile),municipio ,sede municipale,Papa Giovanni Paolo II  ,DESIO,23,199,701
9,PAA2 400 - Fabbricati (patrimonio indisponibile),municipio ,sede municipale,Papa Giovanni Paolo II  ,DESIO,23,199,702
10,PAA2 400 - Fabbricati (patrimonio indisponibile),tribunale,,Galli Guido  ,DESIO,23,302,1
11,PAA2 400 - Fabbricati (patrimonio indisponibile),scuola elementare via Diaz,complesso scolastico con palestra,Diaz Armando  ,DESIO,24,65,
12,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio di via M. Serao,piscina comunale,Serao Matilde  ,DESIO,34,10,
13,PAA2 400 - Fabbricati (patrimonio indisponibile),liceo di via Agnesi, aule e palestra,Agnesi Gaetana  ,DESIO,34,111,
14,PAA2 400 - Fabbricati (patrimonio indisponibile),palazzetto dello sport pala Desio,palazzetto dello sport spogliatoi,Agnesi Gaetana  ,DESIO,34,37,1
15,PAA2 400 - Fabbricati (patrimonio indisponibile),alloggio custode pala Desio,abitazione inserita nel palazzetto,Agnesi Gaetana  ,DESIO,34,37,2
16,PAA2 400 - Fabbricati (patrimonio indisponibile),centro sportivo via Serao,"palazziona con bar, spogliatoi e servizi, campi da tennis",Serao Matilde  ,DESIO,34,14,
17,PAA2 400 - Fabbricati (patrimonio indisponibile),complesso scolastico via Agnesi Stadio,scuola elementare e media con palestre,Stadio  ,DESIO,35,196,
18,PAA2 400 - Fabbricati (patrimonio indisponibile),palazzina  ex vigili urbani,,Gramsci  ,DESIO,38,1,
19,PAA2 400 - Fabbricati (patrimonio indisponibile),cappella inserita nel parco degli alpini,edificio ristrutturato cappella votiva,Pio XI 6 ,DESIO,38,137,
20,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile corso Italia 66,sede uffici,Italia  ,DESIO,38,3,
21,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile via Roggia Traversi,uffici e archivi,Traversi  ,DESIO,38,34,
22,PAA2 400 - Fabbricati (patrimonio indisponibile),scuola elemantare via Prati,complesso scolastico con palestra e alloggio custode,Prati  ,DESIO,38,355,501
23,PAA2 400 - Fabbricati (patrimonio indisponibile),palazzina centro aldo moro sede associazioni,sede di associazioni varie,Gramsci  ,DESIO,38,4,
24,PAA2 400 - Fabbricati (patrimonio indisponibile),centro Aldo Moro edificio ex Meroni,sede associazioni scopo sociale,Italia  ,DESIO,38,409,
25,PAA2 400 - Fabbricati (patrimonio indisponibile),monumento Pio XI,monumento con fontana,Conciliazione  ,DESIO,38,A,
26,PAA2 400 - Fabbricati (patrimonio indisponibile),villa Tittoni corpo centrale,edificio su tre piani con interrato,Lampugnani  ,DESIO,39,29,9
27,PAA2 400 - Fabbricati (patrimonio indisponibile),Cappella inserita nella Villa Tittoni,cappella privata,Lampugnani 1 ,DESIO,39,29,10
28,PAA2 400 - Fabbricati (patrimonio indisponibile),scuola media via Zanella (Rodari),complesso scolastico con aule auditorio e palestra,Zanella  ,DESIO,40,62,
29,PAA2 400 - Fabbricati (patrimonio indisponibile),magazzini comunali,magazzino operai ricovero materiali e attrezzi,Lampugnani 2 ,DESIO,39,29,6
29,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,722
30,PAA2 400 - Fabbricati (patrimonio indisponibile),scuola elementare S. Apollinare,scuola  elementare in frazione S. Giorgio,Santa Apollinare  ,DESIO,43,111,
31,PAA2 400 - Fabbricati (patrimonio indisponibile),asilo nido via Adamello,asilo,Adamello  ,DESIO,51,335,
32,PAA2 400 - Fabbricati (patrimonio indisponibile),immobile - via Galeno,scuola professionale,Galeno  ,DESIO,51,41,
32,PAA2 400 - Fabbricati (patrimonio indisponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,725
33,PAA2 400 - Fabbricati (patrimonio indisponibile),ex caecere,alloggio del custode,Santa Liberata  ,DESIO,52,51,
34,PAA2 400 - Fabbricati (patrimonio indisponibile),caserma carabinieri,caserma,Nassirya Caduti di  ,DESIO,53,266,
35,PAA2 400 - Fabbricati (patrimonio indisponibile),pompa carburanti caserma CC,impianto distributore carburante,Nassirya Caduti di 2 ,DESIO,53,268,3
