UUID,Category,Address,Latitude,Longitude,Icon,Note,Link
6b5807d5-c327-4e98-8e32-af19cc395e11,Parking Lot,Don Giussani,45.621237,9.209033,parking.png,"",""
f8ccb6a7-b260-4c31-b06a-8e7dff6ed0a3,Parking Lot,Borghetto,45.615073,9.202363,parking.png,"",""
e4b6ee42-a4cb-4ce3-a0cb-23a17ed1862b,Parking Lot,Mercato Sud Prati,45.614752,9.211902,parking.png,"",""
ce296eb8-2001-4827-bdef-d810792efadc,Parking Lot,Stazione,45.620651,9.216960,bancomat.png,"",""
9a63101d-7843-48e0-86df-b6c7029bb424,Parking Lot,Via Foscolo,45.613566,9.204628,parking.png,"",""
39b24d7d-85bb-4906-b9c0-d874c4a6e32e,Parking Lot,Via Milano angolo Caravaggio,45.604985,9.203437,parking.png,"",""
c6c8a28c-6280-4ac8-8f88-e99c45067806,Parking Lot,Viale Rimembranze,45.620693,9.205253,parking.png,"",""
02fef698-59dc-4cb7-ae55-41df2bddac18,Park Meter,Via Fratelli Cervi 6,45.618486,9.206961,parkingmeter.png,"",""
03120d5d-4560-4fa8-b202-0e7697d096c2,Park Meter,Via Bareggi 7,45.620003,9.220018,parkingmeter.png,"Posizione non verificata",""
0326d59c-73d1-416f-a036-386676fe079c,Park Meter,Via Grandi 30,45.614893,9.208446,parkingmeter.png,"Posizione non verificata",""
039deeef-9d46-4e49-a7e4-e13c924e9c95,Park Meter,Via Fratelli Cervi 14,45.618316,9.205937,parkingmeter.png,"Posizione non verificata",""
060e5a24-eedb-4bcd-a7e1-f0a7fa3cfa3f,Park Meter,Via Matteotti 28,45.617353,9.205834,parkingmeter.png,"Posizione non verificata",""
07be6d23-315a-4273-a34a-17d0347e8706,Park Meter,Via Sicilia 20,45.619891,9.219016,parkingmeter.png,"Posizione non verificata",""
098b8723-d145-431a-8d75-8444b9cebcb8,Park Meter,Via Stazione,45.619598,9.21671,bancomat.png,"",""
24c0b0f2-9100-4862-a129-a71b25b3b33f,Park Meter,Via Forlanini 12,45.619142,9.217347,parkingmeter.png,"Posizione non verificata",""
25693798-a072-4773-b313-d13ef364cba9,Park Meter,Via Sicilia 14,45.619391,9.219247,parkingmeter.png,"Posizione non verificata",""
26419cc0-d539-4eae-bc20-242f39387b20,Park Meter,Via Conciliazione,45.617511,9.209071,parkingmeter.png,"Posizione non verificata",""
26e34e01-e841-489a-881f-c243bd54ed2b,Park Meter,Via Stazione,45.620041,9.21807,bancomat.png,"",""
27a050b3-d3da-47d2-8706-9bf94af1626d,Park Meter,Via Rimembranze,45.619408,9.206455,parkingmeter.png,"Posizione non verificata",""
2a4dfb45-8816-4375-8192-1c28cbe63cb0,Park Meter,Via Filippo da Desio 20,45.622093,9.219856,parkingmeter.png,"Posizione non verificata",""
2b6e8502-a0e7-42e6-83a3-b4eba3ed8e3d,Park Meter,Via Piazzale Giovanni Paolo II,45.620389,9.208536,bancomat.png,"",""
30fa7930-f6e7-4be7-b882-69c98c7b10d6,Park Meter,Via Brambilla 7,45.619025,9.216901,parkingmeter.png,"Posizione non verificata",""
36e8e717-0dc1-42aa-a110-1925cb673045,Park Meter,Via Olmetto 28,45.61594,9.20775,parkingmeter.png,"Posizione non verificata",""
3838aa8f-6572-42f7-baaf-d24ed0125994,Park Meter,Via Forlanini 33,45.618082,9.218035,parkingmeter.png,"Posizione non verificata",""
38788e45-14de-4059-8d4d-d383e30083c5,Park Meter,Via Stazione,45.620041,9.21807,bancomat.png,"",""
39643f33-379c-47f0-beb5-5e13c28520a5,Park Meter,Via S. Pietro 26,45.619568,9.210093,parkingmeter.png,"Posizione non verificata",""
3cce6f6f-d643-4079-8ad1-7e179a775410,Park Meter,Via Conciliazione,45.61745,9.20879,parkingmeter.png,"Posizione non verificata",""
44942021-7eff-480c-a980-f66a2965f0a5,Park Meter,Via Lombardia 3,45.6201,9.210802,parkingmeter.png,"Posizione non verificata",""
48f82a5b-0e4b-4787-9d61-0813bd28dd16,Park Meter,Via Garibaldi 6,45.617011,9.206992,bancomat.png,"Posizione non verificata",""
4a8750c1-d7b0-4f78-a6c8-89afd68967df,Park Meter,Via Italia 43,45.618095,9.207399,parkingmeter.png,"",""
4c285063-07e8-48fe-926f-2f6b6e676d99,Park Meter,Via Mons. Cattaneo 23,45.617508,9.205583,parkingmeter.png,"Posizione non verificata",""
5e6f007d-3d8e-40d7-8f76-5c6dee8d5ec7,Park Meter,Via Buozzi 11,45.620338,9.215014,parkingmeter.png,"Posizione non verificata",""
64e6fa47-55b9-418c-906e-4dca5f12d865,Park Meter,Via Pio XI 7,45.616862,9.209415,parkingmeter.png,"Posizione non verificata",""
658589b2-8fac-4092-9d57-1687dc9e2fbd,Park Meter,Via Stazione,45.619673,9.216492,bancomat.png,"",""
73f8c8df-f758-485d-a753-00f5cb9a7f64,Park Meter,Via Buozzi 5a,45.620357,9.216049,parkingmeter.png,"Posizione non verificata",""
741befc4-3bb9-4b5e-9cf4-330f864db784,Park Meter,Via Corso Italia,45.619898,9.208117,parkingmeter.png,"Posizione non verificata",""
86c6fe2c-4fce-4067-906d-94ac79ed8b46,Park Meter,Via Garibaldi 82,45.614988,9.206248,bancomat.png,"Posizione non verificata",""
8ae404af-d37a-4b4f-9d77-116a69453edf,Park Meter,Via Garibaldi 120,45.613546,9.20555,bancomat.png,"Posizione non verificata",""
91945e27-44bc-47e2-a252-e188a50d4dd3,Park Meter,Via Tittoni 3,45.620705,9.219562,parkingmeter.png,"",""
98ed2167-9390-4af8-819d-97d3b48edca3,Park Meter,Via Italia 25,45.617777,9.207372,parkingmeter.png,"",""
a0f9b22c-ded9-4f51-bc02-b8e98d13f05f,Park Meter,Via Camnasio 5,45.62042,9.216803,parkingmeter.png,"Posizione non verificata",""
a116b980-1033-45cf-8d8d-a5a2a613b138,Park Meter,Via Sicilia,45.618634,9.219394,parkingmeter.png,"Posizione non verificata",""
ad9d398c-2e7e-4ee9-b058-372f4892838b,Park Meter,Via Tripoli 7,45.616386,9.206099,bancomat.png,"",""
b0461ba5-54ca-4d05-a322-c038bd4006dc,Park Meter,Via Garibaldi 98,45.613567,9.205556,bancomat.png,"Posizione non verificata",""
b64b74d9-cb48-4d25-8980-c1008a52d75f,Park Meter,Via Bolivia 3,45.621344,9.220021,parkingmeter.png,"Posizione non verificata",""
b8ebee69-fa4e-40a9-8547-645528bf6e11,Park Meter,Via Guarenti 13,45.619408,9.21455,parkingmeter.png,"Posizione non verificata",""
bbb73bf9-add5-47d8-8770-595652b03634,Park Meter,Via Tittoni 15,45.621443,9.219235,parkingmeter.png,"",""
