ID,DESCRIZIONE ATTIVITA',2016,2015,2014,2013,2012,2011,2010,2009,2008
1,Incidenti stradali rilevati,264,292,250,251,264,251,287,303,330
2,Accertamenti per violazioni a norme del CdS                                               ,7360,7783,5426,7049,7622,6427,8190,8170,8191
3,Accertamenti per violazione amministrativa di altre norme,299,141,119,94,162,128,168,160,185
4,Segnalazioni sospensione patente art.223,72,64,72,68,68,77,82,93,95
5,Patenti e C.C. sosp. e/o revoc. su disposiz. A.G.+ Ritiri + restituzioni,110,160,155,147,220,150,119,118,108
6,Documenti ritirati dal Comando P.L. (Controlli di Polizia Stradale) ,105,91,91,109,92,87,156,147,105
7,Veicoli sottoposti a sequestro,169,89,51,71,71,33,46,34,32
8,Ciclomotori  e Autoveicoli sottoposti a fermo amm.vo,33,28,15,22,25,31,30,16,40
9,Nullaosta per trasporti eccezionali,106,131,87,61,94,73,53,51,45
10,Permessi per portatori di handicap                                                     ,270,412,281,248,260,199,257,232,185
11,Permessi per medici in visita urgente                                       ,12,12,13,15,14,13,14,13,12
12,Controlli sulle attività commerciali in sede fissa,55,85,80,70,35,30,90,100,100
13,Violazioni accertate in attività commerciali in sede fissa,7,5,7,3,9,2,4,1,3
14,Controlli sulle attività commerciali su area pubblica,225,170,190,200,200,200,200,200,190
15,Violazioni accertate in attività commerciali su area pubblica,2,10,13,4,3,4,5,3,5
16,Controlli sui Pubblici Esercizi,65,30,50,30,20,20,30,30,55
17,Violazioni accertate in Pubblici Esercizi,7,4,1,6,2,0,0,0,2
18,Controlli sulle attività soggette ad autorizzazione di P.S.,30,30,40,11,5,10,25,40,25
19,Violazioni accertate su attività soggette ad autorizzaz. di P.S.,0,0,2,1,5,2,0,6,1
20,Violazioni in materia di artigianato,4,2,1,16,14,25,22,26,8
21,Violazioni Amministrative + Regolamenti Comunali                                   ,224,90,21,38,162,100,168,150,182
22,Trattamenti sanitari obbligatori,45,68,65,40,62,82,76,95,111
23,Notifiche di atti per enti vari,560,552,557,590,265,224,215,179,146
24,Pratiche gestite dal Comando                               ,4123,4215,4197,3800,1960,2196,2124,2122,2540
25,Pratiche squadra informativa,1460,1480,1405,1323,490,549,531,531,635
26,Esposti,183,202,197,193,190,160,79,185,199
27,"Controlli su Ordinanze Sindacali ""ambientale"" (Edilizia/Ecologia)",60,88,60,72,184,187,120,100,120
28,Violazioni accertate per inosservanza delle OO.SS.,40,18,2,2,17,12,18,30,80
29,Richieste risarcimento danni causati da dissesti stadali ,37,20,65,66,70,320,160,134,108
30,Sgombero nomadi ed interventi per extracomunitari,23,110,231,165,265,260,250,270,228
31,Pratiche di polizia ambientale,1150,1270,1340,1020,1200,1500,800,835,1347
32,Recupero di veicoli rubati,26,24,28,45,32,19,28,15,26
33,Rinvenimento e consegna di oggetti e documenti,54,84,71,74,69,90,106,92,57
34,Informative di reato (Totale),67,95,131,125,92,75,65,71,91
35,Informative di reato in materia ambientale (Edilizia/Ecologia),17,18,30,40,21,23,7,5,7
36,Informative di reato in altre materie,50,77,99,85,71,77,58,66,84
37,Esposti e richieste d'intervento ricevuti telefonicamente,4020,3930,3730,3715,3710,3700,3690,3610,3580
38,Ricezione denunce cessionie di fabbricato e di ospitalità stranieri,764,661,658,591,726,2144,3370,3450,4000
39,Ricezione denunce d'infortunio sul lavoro,140,382,408,436,435,509,447,1146,500
40,Ricorsi in Prefettura (Totale),8,15,26,35,41,31,69,45,31
41,Ricorsi in Prefettura (Archiviazione in Autotutela +  respinti),1,7,16,9,32,7,10,9,2
42,Ricorsi in Prefettura (Accolti),0,2,0,10,9,19,36,13,15
43,Ricorsi in Prefettura (In attesa),7,6,10,16,0,3,23,23,14
44,Ricorsi al Giudice di Pace (Totale),8,10,6,14,30,24,28,76,57
45,Ricorsi al Giudice di Pace (Respinti),5,6,3,8,11,11,13,31,14
46,Ricorsi al Giudice di Pace (Accolti),2,3,1,2,1,4,11,16,7
47,Ricorsi al Giudice di Pace (In attesa),1,1,2,4,18,7,2,29,36
